uuid,days,open_at,close_at
51d4b5e2-a095-1aa0-e100-80009459e03a,192,07:00:00,23:00:00
51d4b5e2-a095-1aa0-e100-80009459e03a,32,06:00:00,23:00:00
51d4b5e2-a095-1aa0-e100-80009459e03a,31,05:00:00,23:00:00
baf8cb92-7bbc-452f-b742-4366d5d2387a,255,06:00:00,22:00:00
02071bff-1f29-4c5e-9823-3644589ee89e,255,06:00:00,22:00:00
c7825450-909d-4cb7-a01c-fabee6b177c2,192,08:00:00,22:00:00
c7825450-909d-4cb7-a01c-fabee6b177c2,32,07:00:00,22:00:00
c7825450-909d-4cb7-a01c-fabee6b177c2,31,06:00:00,22:00:00
c7970a92-5632-4e7f-9469-d0ff32851489,64,06:00:00,23:00:00
c7970a92-5632-4e7f-9469-d0ff32851489,32,06:00:00,23:59:59
c7970a92-5632-4e7f-9469-d0ff32851489,16,04:30:00,23:59:59
c7970a92-5632-4e7f-9469-d0ff32851489,15,04:30:00,23:00:00
c7997694-8b7a-43c7-bdd2-b66fe9ab45b2,32,08:30:00,18:00:00
c7997694-8b7a-43c7-bdd2-b66fe9ab45b2,31,08:30:00,19:00:00
c7ad22be-d7f0-4c7a-b8a9-d90c128563f2,64,09:00:00,22:00:00
c7ad22be-d7f0-4c7a-b8a9-d90c128563f2,63,08:30:00,22:30:00
021052b7-1cde-422e-8940-d1d11ad9aedb,224,08:00:00,22:30:00
021052b7-1cde-422e-8940-d1d11ad9aedb,31,05:00:00,22:30:00
455fab75-8ea5-451c-8941-5f046184f2fb,64,07:00:00,21:00:00
455fab75-8ea5-451c-8941-5f046184f2fb,63,06:00:00,21:00:00
c7b99d08-912c-48e1-9ee4-a36edc9c96fa,192,07:30:00,22:00:00
c7b99d08-912c-48e1-9ee4-a36edc9c96fa,63,06:00:00,22:00:00
456fc5bc-8839-4603-9867-66e5c338e188,64,08:00:00,20:00:00
456fc5bc-8839-4603-9867-66e5c338e188,32,07:00:00,20:00:00
456fc5bc-8839-4603-9867-66e5c338e188,31,06:00:00,20:00:00
c7ff481f-7cb5-4413-be4b-bcf47fff29b1,64,08:00:00,21:00:00
c7ff481f-7cb5-4413-be4b-bcf47fff29b1,32,07:00:00,21:00:00
c7ff481f-7cb5-4413-be4b-bcf47fff29b1,31,06:00:00,21:00:00
c8008f11-c0ee-4b11-2a6f-a5cbfaacd6a3,192,10:00:00,21:00:00
c8008f11-c0ee-4b11-2a6f-a5cbfaacd6a3,63,07:00:00,21:00:00
51d4b5e7-a095-1aa0-e100-80009459e03a,32,08:00:00,20:00:00
51d4b5e7-a095-1aa0-e100-80009459e03a,31,07:30:00,21:00:00
4579fdb9-cce1-4889-8dfe-ff522e54d8fe,64,08:00:00,22:00:00
4579fdb9-cce1-4889-8dfe-ff522e54d8fe,63,06:00:00,22:00:00
491ea884-bdc3-4442-080e-21fcefb6718b,64,06:45:00,20:00:00
491ea884-bdc3-4442-080e-21fcefb6718b,32,05:45:00,20:00:00
491ea884-bdc3-4442-080e-21fcefb6718b,31,04:45:00,20:00:00
c8126d21-bc66-4ba7-ac63-dac4c225fa60,64,07:30:00,22:30:00
c8126d21-bc66-4ba7-ac63-dac4c225fa60,48,06:30:00,23:00:00
c8126d21-bc66-4ba7-ac63-dac4c225fa60,15,06:30:00,22:30:00
c8137d18-edad-4006-9746-18e876b14b1d,192,08:00:00,22:00:00
c8137d18-edad-4006-9746-18e876b14b1d,32,06:00:00,22:00:00
c8137d18-edad-4006-9746-18e876b14b1d,31,05:00:00,22:00:00
457d651b-3b6e-4b07-ba19-25ce7497464f,96,06:00:00,23:45:00
457d651b-3b6e-4b07-ba19-25ce7497464f,31,05:00:00,23:45:00
c82ccef2-0eb8-41aa-80fc-ce45502575ad,64,08:30:00,21:00:00
c82ccef2-0eb8-41aa-80fc-ce45502575ad,32,07:00:00,21:30:00
c82ccef2-0eb8-41aa-80fc-ce45502575ad,16,06:30:00,21:30:00
